Date;Portfolio_value;Portfolio_return
45078;100;NA
45079;101,77482;0,0177482
45082;102,27927;0,004956531
45083;103,00462;0,007091857
45084;103,31618;0,003024719
45085;103,29232;-0,000230942
45086;103,21035;-0,000793573
45089;103,89732;0,006656019
45090;104,17426;0,002665516
45091;103,24258;-0,008943476
45092;103,88859;0,006257205
45093;103,04021;-0,008166248
45096;103,04581;5,43477E-05
45097;102,30415;-0,007197381
45098;101,97811;-0,003186967
45099;100,79604;-0,011591409
45100;100,52246;-0,002714194
45103;100,76546;0,00241737
45104;100,92794;0,001612457
45105;100,971;0,000426641
45106;100,95121;-0,000195997
45107;101,98436;0,010234152
45110;102,2143;0,002254659
45111;102,6597;0,004357512
45112;102,25678;-0,003924812
45113;101,18414;-0,010489671
45114;101,13482;-0,000487428
45117;100,86592;-0,002658827
45118;101,30338;0,004337045
45119;101,8443;0,005339605
45120;101,90852;0,00063057
45121;101,46118;-0,004389623
45124;101,23587;-0,002220652
45125;101,00211;-0,002309063
45126;101,28553;0,00280608
45127;101,70419;0,004133463
45128;102,27075;0,005570665
45131;102,668;0,003884297
45132;103,76424;0,010677524
45133;103,93698;0,001664735
45134;103,44964;-0,004688803
45135;104,678;0,01187399
45138;105,24878;0,005452722
45139;105,0361;-0,002020736
45140;103,99509;-0,009910973
45141;103,68184;-0,003012161
45142;103,2565;-0,004102358
45145;103,2261;-0,000294412
45146;102,90986;-0,003063566
45147;103,09902;0,001838113
45148;102,92721;-0,001666456
45149;102,68668;-0,002336894
45152;102,43734;-0,002428163
45153;101,64154;-0,007768652
45154;101,31379;-0,003224567
45155;101,337;0,00022909
45156;101,12189;-0,002122719
45159;100,43252;-0,006817218
45160;100,75178;0,003178851
45161;101,88452;0,011242878
45162;102,17072;0,002809063
45163;102,57345;0,003941736
45166;102,68422;0,001079909
45167;103,59572;0,008876729
45168;103,1898;-0,003918309
45169;103,53416;0,003337152
45170;103,39914;-0,001304111
45173;104,09684;0,006747638
45174;104,09952;2,57453E-05
45175;103,37728;-0,006937976
45176;103,37604;-1,19949E-05
45177;103,60973;0,002260582
45180;103,57135;-0,000370429
45181;103,89936;0,003166996
45182;103,65773;-0,002325616
45183;104,26891;0,005896135
45184;104,63608;0,003521376
45187;104,51025;-0,001202549
45188;104,12969;-0,003641365
45189;103,76652;-0,00348767
45190;103,34921;-0,004021625
45191;103,39023;0,000396907
45194;103,01189;-0,00365934
45195;102,11264;-0,008729575
45196;102,14046;0,000272444
45197;102,11189;-0,000279713
45198;102,09114;-0,000203208
45201;101,84948;-0,002367101
45202;101,09863;-0,007372153
45203;100,17934;-0,009093002
45204;99,93353;-0,0024537
45205;99,83806;-0,000955335
45208;100,30362;0,004663152
45209;100,57391;0,002694718
45210;101,12693;0,005498643
45211;101,31593;0,001868938
45212;101,64581;0,003255954
45215;101,69247;0,000459045
45216;101,5801;-0,001104998
45217;101,08451;-0,00487881
45218;100,0863;-0,009875005
45219;99,2361;-0,008494669
45222;98,65398;-0,00586601
45223;98,63066;-0,000236382
45224;98,84269;0,002149737
45225;98,75408;-0,000896475
45226;98,86604;0,001133725
45229;98,66701;-0,002013128
45230;98,41053;-0,00259945
45231;99,53701;0,011446743
45232;100,06983;0,005352984
45233;101,10144;0,010308901
45236;100,96272;-0,001372087
45237;100,53095;-0,004276529
45238;100,40824;-0,001220619
45239;99,98302;-0,004234911
45240;100,09566;0,001126591
45243;100,37245;0,002765255
45244;100,84506;0,004708563
45245;100,79179;-0,000528236
45246;100,41551;-0,003733241
45247;100,87529;0,004578775
45250;101,06013;0,001832362
45251;100,78258;-0,002746385
45252;100,80137;0,000186441
45253;100,7878;-0,000134621
45254;101,06638;0,002764025
45257;100,7463;-0,003167027
45258;101,13181;0,003826543
45259;101,00704;-0,001233736
45260;101,26546;0,002558436
45261;102,41198;0,011321926
45264;102,33487;-0,000752939
45265;102,21596;-0,00116197
45266;102,64561;0,004203355
45267;102,91485;0,002623006
45268;103,19569;0,002728858
45271;103,14897;-0,000452732
45272;102,7874;-0,003505319
45273;103,84201;0,01026011
45274;104,7147;0,008404017
45275;104,4728;-0,002310086
45278;104,34964;-0,001178871
45279;104,61482;0,002541264
45280;104,39532;-0,002098173
45281;104,54008;0,001386652
45282;104,24899;-0,002784482
45286;104,99395;0,007145969
45287;104,81198;-0,001733147
45288;104,69841;-0,001083559
45289;104,99017;0,002786671
45293;104,77799;-0,002020951
45294;104,27382;-0,004811793
45295;104,13026;-0,00137676
45296;104,28213;0,001458462
45299;104,6062;0,003107627
45300;104,73237;0,001206143
45301;104,76315;0,000293892
45302;104,45265;-0,002963828
45303;104,91199;0,004397591
45306;105,42253;0,004866365
45307;105,24063;-0,001725438
45308;104,40149;-0,007973536
45309;104,47996;0,000751618
45310;104,40931;-0,000676206
45313;104,47791;0,00065703
45314;104,40758;-0,000673157
45315;104,49561;0,000843138
45316;104,73765;0,00231627
45317;104,97932;0,002307384
45320;105,68356;0,006708369
45321;104,57757;-0,010465109
45322;104,5246;-0,000506514
45323;105,02358;0,004773804
45324;104,65001;-0,003557011
45327;104,80352;0,001466889
45328;104,68878;-0,001094811
45329;104,63654;-0,000499003
45330;104,92937;0,002798544
45331;104,89631;-0,000315069
45334;105,149;0,00240895
45335;104,62547;-0,004978935
45336;105,44109;0,007795616
45337;105,60439;0,001548732
45338;105,18652;-0,003956938
45341;105,20371;0,000163424
45342;105,26028;0,000537719
45343;105,46933;0,001986029
45344;105,2154;-0,002407619
45345;105,16776;-0,000452785
45348;104,79245;-0,003568679
45349;105,006;0,002037838
45350;105,13395;0,001218502
45351;105,08837;-0,000433542
45352;105,37806;0,002756632
45355;105,32933;-0,00046243
45356;105,15052;-0,001697628
45357;104,58901;-0,005340059
45358;104,86877;0,002674851
45359;104,85223;-0,000157721
45362;104,96612;0,001086195
45363;104,96753;1,34329E-05
45364;104,85904;-0,001033558
45365;104,6098;-0,002376905
45366;104,61885;8,6512E-05
45369;104,53528;-0,000798804
45370;104,61304;0,000743864
45371;105,2098;0,005704451
45372;105,71575;0,004808963
45373;106,32648;0,005777096
45376;106,11167;-0,002020287
45377;105,88895;-0,002098921
45378;106,6888;0,007553668
45379;106,99739;0,002892431
45380;106,87893;-0,00110713
45383;106,73758;-0,001322524
45384;106,99017;0,002366458
45385;106,83069;-0,001490604
45386;106,7529;-0,000728162
45387;106,60782;-0,001359026
45390;106,79667;0,001771446
45391;106,88559;0,00083261
45392;106,2724;-0,005736882
45393;106,59622;0,003047075
45394;106,86499;0,002521384
45397;106,44817;-0,003900435
45398;105,20354;-0,011692357
45399;104,9336;-0,002565883
45400;104,92782;-5,50825E-05
45401;104,99429;0,000633483
45404;105,44587;0,004300996
45405;105,48306;0,000352693
45406;105,63732;0,001462415
45407;105,02476;-0,005798708
45408;104,97871;-0,000438468
45411;105,21117;0,002214354
45412;104,88092;-0,003138925
45413;104,66145;-0,002092564
45414;105,55634;0,008550331
45415;105,81519;0,002452245
45418;106,23844;0,003999898
45419;106,61367;0,003531961
45420;106,7123;0,000925116
45422;106,45323;-0,002427743
45425;106,47972;0,000248842
45426;106,49362;0,000130541
45427;106,51209;0,000173438
45428;106,70071;0,001770879
45429;106,97575;0,002577677
45433;107,31818;0,003201006
45434;107,24974;-0,00063773
45435;106,84367;-0,00378621
45436;106,63207;-0,001980464
45439;106,54373;-0,000828456
45440;106,4336;-0,00103366
45441;106,15826;-0,002586965
45442;105,94177;-0,002039314
45443;105,69876;-0,002293807
45446;105,39603;-0,002864083
